age,gender,height,weight,activity_level,goal,protein,carbs,fats,water
58,female,180,73,active,maintenance,146.0,319.4,91.2,3.16
46,male,174,58,moderate,cutting,127.6,159.5,51.0,2.33
58,male,197,63,moderate,maintenance,126.0,242.6,69.3,2.5
46,male,188,57,sedentary,maintenance,114.0,199.5,57.0,2.0
38,female,187,83,sedentary,maintenance,166.0,290.5,83.0,2.91
43,female,174,62,sedentary,bulking,124.0,310.0,74.4,2.17
45,female,184,51,active,cutting,112.2,159.4,51.0,2.39
56,male,159,93,active,maintenance,186.0,406.9,116.2,3.86
34,female,196,80,sedentary,cutting,176.0,200.0,64.0,2.8
18,male,151,81,moderate,maintenance,162.0,311.9,89.1,3.14
49,female,158,75,active,cutting,165.0,234.4,75.0,3.23
44,male,173,68,sedentary,cutting,149.6,170.0,54.4,2.38
28,male,191,45,sedentary,cutting,99.0,112.5,36.0,1.58
46,female,163,91,sedentary,maintenance,182.0,318.5,91.0,3.19
49,female,173,46,moderate,bulking,92.0,253.0,60.7,1.91
38,male,153,68,moderate,bulking,136.0,374.0,89.8,2.68
44,male,191,80,active,maintenance,160.0,350.0,100.0,3.4
23,female,191,92,moderate,bulking,184.0,506.0,121.4,3.52
58,female,188,79,active,bulking,158.0,493.8,118.5,3.37
59,male,190,73,active,cutting,160.6,228.1,73.0,3.16
29,female,151,80,moderate,cutting,176.0,220.0,70.4,3.1
49,female,158,71,sedentary,maintenance,142.0,248.5,71.0,2.49
44,male,158,78,active,bulking,156.0,487.5,117.0,3.33
58,male,165,50,sedentary,bulking,100.0,250.0,60.0,1.75
24,male,171,54,active,cutting,118.8,168.8,54.0,2.49
34,female,160,67,sedentary,bulking,134.0,335.0,80.4,2.35
52,male,192,88,sedentary,cutting,193.6,220.0,70.4,3.08
37,female,175,55,sedentary,maintenance,110.0,192.5,55.0,1.93
55,female,165,52,sedentary,cutting,114.4,130.0,41.6,1.82
20,female,184,98,sedentary,maintenance,196.0,343.0,98.0,3.43
57,male,175,67,active,cutting,147.4,209.4,67.0,2.95
32,male,160,81,sedentary,maintenance,162.0,283.5,81.0,2.84
48,female,180,87,moderate,maintenance,174.0,335.0,95.7,3.35
31,female,188,71,active,bulking,142.0,443.8,106.5,3.09
50,female,182,68,sedentary,bulking,136.0,340.0,81.6,2.38
46,female,168,95,active,bulking,190.0,593.8,142.5,3.93
58,female,187,95,active,bulking,190.0,593.8,142.5,3.93
30,female,166,98,active,cutting,215.6,306.2,98.0,4.03
35,female,158,57,moderate,maintenance,114.0,219.5,62.7,2.29
30,female,192,51,moderate,cutting,112.2,140.2,44.9,2.08
40,female,187,64,active,bulking,128.0,400.0,96.0,2.84
41,male,189,73,active,bulking,146.0,456.2,109.5,3.16
50,female,154,48,sedentary,maintenance,96.0,168.0,48.0,1.68
22,female,187,77,active,maintenance,154.0,336.9,96.2,3.3
38,female,185,96,moderate,bulking,192.0,528.0,126.7,3.66
31,male,153,93,sedentary,bulking,186.0,465.0,111.6,3.26
22,male,157,53,active,bulking,106.0,331.2,79.5,2.46
52,female,161,51,moderate,maintenance,102.0,196.4,56.1,2.08
51,female,166,74,moderate,bulking,148.0,407.0,97.7,2.89
33,female,185,68,moderate,maintenance,136.0,261.8,74.8,2.68
53,female,157,47,sedentary,maintenance,94.0,164.5,47.0,1.65
28,female,168,58,active,cutting,127.6,181.2,58.0,2.63
24,male,181,93,active,bulking,186.0,581.2,139.5,3.86
32,female,167,85,active,cutting,187.0,265.6,85.0,3.58
59,female,194,45,moderate,cutting,99.0,123.8,39.6,1.88
59,female,165,97,sedentary,cutting,213.4,242.5,77.6,3.4
24,male,170,60,sedentary,bulking,120.0,300.0,72.0,2.1
42,female,188,58,moderate,bulking,116.0,319.0,76.6,2.33
31,female,198,57,active,bulking,114.0,356.2,85.5,2.6
36,male,190,58,moderate,cutting,127.6,159.5,51.0,2.33
32,female,167,91,active,bulking,182.0,568.8,136.5,3.79
47,female,171,95,active,bulking,190.0,593.8,142.5,3.93
57,male,191,48,sedentary,cutting,105.6,120.0,38.4,1.68
33,female,184,58,sedentary,cutting,127.6,145.0,46.4,2.03
18,male,188,88,moderate,bulking,176.0,484.0,116.2,3.38
30,female,181,67,active,cutting,147.4,209.4,67.0,2.95
18,male,186,78,active,cutting,171.6,243.8,78.0,3.33
18,male,174,91,sedentary,cutting,200.2,227.5,72.8,3.19
48,female,191,66,moderate,maintenance,132.0,254.1,72.6,2.61
38,female,158,78,active,bulking,156.0,487.5,117.0,3.33
27,male,167,64,active,bulking,128.0,400.0,96.0,2.84
57,female,163,83,moderate,maintenance,166.0,319.6,91.3,3.21
43,female,159,97,active,cutting,213.4,303.1,97.0,4.0
56,male,177,89,active,bulking,178.0,556.2,133.5,3.72
50,female,180,95,moderate,bulking,190.0,522.5,125.4,3.62
20,female,169,89,sedentary,cutting,195.8,222.5,71.2,3.12
33,female,170,90,moderate,cutting,198.0,247.5,79.2,3.45
58,male,195,57,active,bulking,114.0,356.2,85.5,2.6
34,male,187,55,sedentary,cutting,121.0,137.5,44.0,1.93
29,male,189,60,active,maintenance,120.0,262.5,75.0,2.7
53,male,184,67,sedentary,cutting,147.4,167.5,53.6,2.35
36,female,163,62,sedentary,bulking,124.0,310.0,74.4,2.17
29,female,186,58,sedentary,bulking,116.0,290.0,69.6,2.03
21,male,158,73,moderate,bulking,146.0,401.5,96.4,2.85
47,female,159,72,moderate,bulking,144.0,396.0,95.0,2.82
47,male,154,47,active,cutting,103.4,146.9,47.0,2.25
50,male,196,83,moderate,cutting,182.6,228.3,73.0,3.21
48,female,159,58,moderate,cutting,127.6,159.5,51.0,2.33
42,male,188,93,sedentary,cutting,204.6,232.5,74.4,3.26
46,male,156,73,moderate,bulking,146.0,401.5,96.4,2.85
51,female,160,54,moderate,maintenance,108.0,207.9,59.4,2.19
39,female,158,72,moderate,cutting,158.4,198.0,63.4,2.82
19,male,185,46,moderate,maintenance,92.0,177.1,50.6,1.91
29,male,171,63,sedentary,cutting,138.6,157.5,50.4,2.21
46,female,155,92,sedentary,bulking,184.0,460.0,110.4,3.22
27,female,175,67,active,maintenance,134.0,293.1,83.8,2.95
57,male,150,67,moderate,bulking,134.0,368.5,88.4,2.65
51,male,193,94,active,bulking,188.0,587.5,141.0,3.89
38,female,194,74,moderate,maintenance,148.0,284.9,81.4,2.89
38,male,163,97,active,cutting,213.4,303.1,97.0,4.0
38,male,171,84,sedentary,cutting,184.8,210.0,67.2,2.94
52,female,167,77,active,cutting,169.4,240.6,77.0,3.3
59,female,183,71,moderate,bulking,142.0,390.5,93.7,2.79
49,male,152,96,sedentary,bulking,192.0,480.0,115.2,3.36
42,female,162,99,sedentary,bulking,198.0,495.0,118.8,3.47
33,male,196,93,moderate,bulking,186.0,511.5,122.8,3.56
38,male,173,57,moderate,cutting,125.4,156.8,50.2,2.29
49,female,174,93,sedentary,maintenance,186.0,325.5,93.0,3.26
55,male,176,64,active,maintenance,128.0,280.0,80.0,2.84
19,female,171,49,active,maintenance,98.0,214.4,61.2,2.31
19,male,160,81,moderate,bulking,162.0,445.5,106.9,3.14
37,female,152,94,active,cutting,206.8,293.8,94.0,3.89
42,male,171,80,active,bulking,160.0,500.0,120.0,3.4
48,female,171,47,moderate,bulking,94.0,258.5,62.0,1.95
48,female,188,65,sedentary,bulking,130.0,325.0,78.0,2.28
19,female,169,61,moderate,maintenance,122.0,234.9,67.1,2.44
18,female,153,48,moderate,maintenance,96.0,184.8,52.8,1.98
35,female,157,47,active,maintenance,94.0,205.6,58.8,2.25
35,male,165,47,moderate,cutting,103.4,129.2,41.4,1.95
41,female,177,67,moderate,cutting,147.4,184.3,59.0,2.65
39,male,159,93,moderate,bulking,186.0,511.5,122.8,3.56
25,female,194,99,active,maintenance,198.0,433.1,123.8,4.07
37,female,183,46,active,bulking,92.0,287.5,69.0,2.21
21,female,159,71,sedentary,bulking,142.0,355.0,85.2,2.49
40,male,169,64,moderate,bulking,128.0,352.0,84.5,2.54
25,female,197,69,sedentary,bulking,138.0,345.0,82.8,2.42
54,female,184,89,active,maintenance,178.0,389.4,111.2,3.72
53,female,155,55,sedentary,cutting,121.0,137.5,44.0,1.93
37,female,162,82,sedentary,maintenance,164.0,287.0,82.0,2.87
49,female,176,46,active,bulking,92.0,287.5,69.0,2.21
56,male,192,67,moderate,cutting,147.4,184.3,59.0,2.65
27,male,151,75,moderate,maintenance,150.0,288.8,82.5,2.93
48,male,174,78,sedentary,cutting,171.6,195.0,62.4,2.73
23,male,151,54,sedentary,maintenance,108.0,189.0,54.0,1.89
24,male,182,70,active,cutting,154.0,218.8,70.0,3.05
22,male,174,83,moderate,cutting,182.6,228.3,73.0,3.21
35,male,199,54,sedentary,cutting,118.8,135.0,43.2,1.89
56,female,158,71,active,maintenance,142.0,310.6,88.8,3.09
47,male,185,77,sedentary,bulking,154.0,385.0,92.4,2.7
18,male,151,89,moderate,maintenance,178.0,342.7,97.9,3.42
54,male,161,99,sedentary,bulking,198.0,495.0,118.8,3.47
39,male,177,52,active,bulking,104.0,325.0,78.0,2.42
36,female,166,88,moderate,cutting,193.6,242.0,77.4,3.38
50,male,151,66,active,maintenance,132.0,288.8,82.5,2.91
57,male,179,52,active,maintenance,104.0,227.5,65.0,2.42
22,female,163,57,active,bulking,114.0,356.2,85.5,2.6
41,male,161,94,sedentary,cutting,206.8,235.0,75.2,3.29
26,male,169,54,sedentary,bulking,108.0,270.0,64.8,1.89
49,female,159,97,sedentary,cutting,213.4,242.5,77.6,3.4
53,male,195,53,active,maintenance,106.0,231.9,66.2,2.46
20,female,172,78,active,maintenance,156.0,341.2,97.5,3.33
20,female,178,81,sedentary,maintenance,162.0,283.5,81.0,2.84
29,female,162,46,moderate,maintenance,92.0,177.1,50.6,1.91
24,female,190,59,active,bulking,118.0,368.8,88.5,2.67
19,male,179,69,active,bulking,138.0,431.2,103.5,3.02
45,male,171,76,moderate,maintenance,152.0,292.6,83.6,2.96
45,male,162,45,active,bulking,90.0,281.2,67.5,2.18
27,female,190,66,active,maintenance,132.0,288.8,82.5,2.91
31,female,159,56,sedentary,maintenance,112.0,196.0,56.0,1.96
40,female,193,56,sedentary,bulking,112.0,280.0,67.2,1.96
54,male,162,92,sedentary,maintenance,184.0,322.0,92.0,3.22
42,male,166,78,moderate,maintenance,156.0,300.3,85.8,3.03
57,male,168,92,active,cutting,202.4,287.5,92.0,3.82
18,female,199,88,active,bulking,176.0,550.0,132.0,3.68
56,male,180,70,active,bulking,140.0,437.5,105.0,3.05
40,female,175,76,sedentary,maintenance,152.0,266.0,76.0,2.66
31,male,195,59,active,cutting,129.8,184.4,59.0,2.67
55,female,195,98,sedentary,maintenance,196.0,343.0,98.0,3.43
26,female,159,99,sedentary,cutting,217.8,247.5,79.2,3.47
59,female,178,84,moderate,cutting,184.8,231.0,73.9,3.24
57,male,160,67,active,maintenance,134.0,293.1,83.8,2.95
34,male,165,85,active,cutting,187.0,265.6,85.0,3.58
27,female,192,62,active,bulking,124.0,387.5,93.0,2.77
40,female,162,95,sedentary,cutting,209.0,237.5,76.0,3.33
31,female,181,97,active,bulking,194.0,606.2,145.5,4.0
35,male,162,55,moderate,bulking,110.0,302.5,72.6,2.23
26,female,186,94,moderate,maintenance,188.0,361.9,103.4,3.59
26,female,156,48,sedentary,cutting,105.6,120.0,38.4,1.68
25,male,156,95,sedentary,cutting,209.0,237.5,76.0,3.33
27,male,166,81,sedentary,cutting,178.2,202.5,64.8,2.84
29,female,189,64,sedentary,cutting,140.8,160.0,51.2,2.24
50,female,186,47,sedentary,maintenance,94.0,164.5,47.0,1.65
47,male,190,68,moderate,bulking,136.0,374.0,89.8,2.68
55,male,193,67,active,cutting,147.4,209.4,67.0,2.95
53,female,198,92,sedentary,bulking,184.0,460.0,110.4,3.22
29,male,165,52,sedentary,maintenance,104.0,182.0,52.0,1.82
34,female,173,56,sedentary,bulking,112.0,280.0,67.2,1.96
43,male,174,48,active,maintenance,96.0,210.0,60.0,2.28
42,female,198,67,sedentary,bulking,134.0,335.0,80.4,2.35
50,female,164,62,sedentary,maintenance,124.0,217.0,62.0,2.17
19,male,199,57,active,bulking,114.0,356.2,85.5,2.6
37,female,153,67,moderate,maintenance,134.0,258.0,73.7,2.65
36,male,180,89,moderate,cutting,195.8,244.8,78.3,3.42
27,female,194,93,moderate,bulking,186.0,511.5,122.8,3.56
55,female,191,79,sedentary,cutting,173.8,197.5,63.2,2.77
52,female,186,50,moderate,bulking,100.0,275.0,66.0,2.05
41,female,153,94,moderate,maintenance,188.0,361.9,103.4,3.59
21,female,175,82,active,cutting,180.4,256.2,82.0,3.47
41,male,176,50,moderate,bulking,100.0,275.0,66.0,2.05
23,male,166,73,moderate,cutting,160.6,200.8,64.2,2.85
39,female,168,45,active,bulking,90.0,281.2,67.5,2.18
50,female,164,79,sedentary,bulking,158.0,395.0,94.8,2.77
41,male,152,80,sedentary,bulking,160.0,400.0,96.0,2.8
27,male,191,48,sedentary,cutting,105.6,120.0,38.4,1.68
19,male,179,74,active,maintenance,148.0,323.8,92.5,3.19
21,female,155,82,active,bulking,164.0,512.5,123.0,3.47
47,male,165,86,sedentary,cutting,189.2,215.0,68.8,3.01
33,female,199,66,sedentary,bulking,132.0,330.0,79.2,2.31
50,male,171,69,sedentary,maintenance,138.0,241.5,69.0,2.42
21,female,179,78,moderate,cutting,171.6,214.5,68.6,3.03
26,female,159,60,moderate,maintenance,120.0,231.0,66.0,2.4
41,female,191,77,moderate,cutting,169.4,211.8,67.8,3.0
39,female,154,84,sedentary,cutting,184.8,210.0,67.2,2.94
19,female,165,54,active,cutting,118.8,168.8,54.0,2.49
53,male,181,52,moderate,maintenance,104.0,200.2,57.2,2.12
28,male,185,99,active,cutting,217.8,309.4,99.0,4.07
57,male,185,67,active,maintenance,134.0,293.1,83.8,2.95
46,female,163,74,active,bulking,148.0,462.5,111.0,3.19
27,male,193,50,moderate,cutting,110.0,137.5,44.0,2.05
21,male,153,60,sedentary,maintenance,120.0,210.0,60.0,2.1
48,female,192,89,active,maintenance,178.0,389.4,111.2,3.72
34,female,192,76,active,bulking,152.0,475.0,114.0,3.26
54,female,189,59,moderate,bulking,118.0,324.5,77.9,2.37
51,female,157,46,moderate,cutting,101.2,126.5,40.5,1.91
20,female,164,90,sedentary,maintenance,180.0,315.0,90.0,3.15
43,male,153,59,sedentary,cutting,129.8,147.5,47.2,2.07
48,female,188,94,sedentary,bulking,188.0,470.0,112.8,3.29
36,male,189,98,moderate,maintenance,196.0,377.3,107.8,3.73
33,female,159,60,sedentary,bulking,120.0,300.0,72.0,2.1
21,male,180,70,moderate,cutting,154.0,192.5,61.6,2.75
49,male,158,61,sedentary,maintenance,122.0,213.5,61.0,2.14
44,female,151,89,sedentary,cutting,195.8,222.5,71.2,3.12
19,male,160,74,active,maintenance,148.0,323.8,92.5,3.19
28,female,167,61,sedentary,cutting,134.2,152.5,48.8,2.14
34,female,156,50,moderate,cutting,110.0,137.5,44.0,2.05
36,male,186,63,moderate,bulking,126.0,346.5,83.2,2.5
53,female,162,51,moderate,cutting,112.2,140.2,44.9,2.08
55,female,185,54,moderate,cutting,118.8,148.5,47.5,2.19
25,male,182,79,sedentary,cutting,173.8,197.5,63.2,2.77
55,female,189,58,active,maintenance,116.0,253.8,72.5,2.63
47,male,165,62,moderate,maintenance,124.0,238.7,68.2,2.47
24,female,172,66,sedentary,cutting,145.2,165.0,52.8,2.31
27,female,150,76,moderate,cutting,167.2,209.0,66.9,2.96
26,female,162,66,active,bulking,132.0,412.5,99.0,2.91
41,female,151,75,moderate,cutting,165.0,206.3,66.0,2.93
51,female,198,85,active,cutting,187.0,265.6,85.0,3.58
30,male,164,82,active,cutting,180.4,256.2,82.0,3.47
26,male,178,81,sedentary,cutting,178.2,202.5,64.8,2.84
41,female,188,92,active,bulking,184.0,575.0,138.0,3.82
45,female,177,88,active,bulking,176.0,550.0,132.0,3.68
45,male,197,96,sedentary,cutting,211.2,240.0,76.8,3.36
34,male,191,51,sedentary,maintenance,102.0,178.5,51.0,1.79
19,female,196,72,sedentary,cutting,158.4,180.0,57.6,2.52
18,male,164,84,active,bulking,168.0,525.0,126.0,3.54
18,male,167,74,sedentary,cutting,162.8,185.0,59.2,2.59
48,female,162,64,sedentary,maintenance,128.0,224.0,64.0,2.24
46,female,163,54,active,cutting,118.8,168.8,54.0,2.49
41,male,182,71,moderate,cutting,156.2,195.3,62.5,2.79
23,female,158,85,moderate,cutting,187.0,233.8,74.8,3.27
44,male,180,55,active,maintenance,110.0,240.6,68.8,2.53
55,male,199,51,active,cutting,112.2,159.4,51.0,2.39
30,female,157,80,active,bulking,160.0,500.0,120.0,3.4
34,female,156,90,active,maintenance,180.0,393.8,112.5,3.75
50,female,184,85,sedentary,maintenance,170.0,297.5,85.0,2.98
20,male,165,67,sedentary,bulking,134.0,335.0,80.4,2.35
35,male,156,54,moderate,maintenance,108.0,207.9,59.4,2.19
30,male,160,91,active,bulking,182.0,568.8,136.5,3.79
25,male,176,45,moderate,cutting,99.0,123.8,39.6,1.88
39,female,191,81,moderate,maintenance,162.0,311.9,89.1,3.14
24,male,151,81,moderate,maintenance,162.0,311.9,89.1,3.14
59,female,156,82,active,cutting,180.4,256.2,82.0,3.47
31,female,188,98,active,maintenance,196.0,428.8,122.5,4.03
37,female,175,85,active,bulking,170.0,531.2,127.5,3.58
44,male,178,78,active,cutting,171.6,243.8,78.0,3.33
21,female,166,78,active,cutting,171.6,243.8,78.0,3.33
53,female,165,77,active,bulking,154.0,481.2,115.5,3.3
18,female,180,79,moderate,bulking,158.0,434.5,104.3,3.06
49,male,156,72,active,maintenance,144.0,315.0,90.0,3.12
43,male,193,69,moderate,maintenance,138.0,265.7,75.9,2.71
33,female,172,83,moderate,maintenance,166.0,319.6,91.3,3.21
37,male,195,52,moderate,maintenance,104.0,200.2,57.2,2.12
39,female,198,78,moderate,bulking,156.0,429.0,103.0,3.03
39,male,160,91,moderate,bulking,182.0,500.5,120.1,3.49
18,female,196,73,active,bulking,146.0,456.2,109.5,3.16
25,male,163,86,active,maintenance,172.0,376.2,107.5,3.61
18,male,196,94,moderate,cutting,206.8,258.5,82.7,3.59
33,male,159,70,sedentary,maintenance,140.0,245.0,70.0,2.45
37,female,171,64,sedentary,maintenance,128.0,224.0,64.0,2.24
20,female,175,77,sedentary,cutting,169.4,192.5,61.6,2.7
18,female,180,45,moderate,cutting,99.0,123.8,39.6,1.88
19,female,159,51,sedentary,cutting,112.2,127.5,40.8,1.79
31,female,176,84,sedentary,maintenance,168.0,294.0,84.0,2.94
18,male,192,95,moderate,cutting,209.0,261.2,83.6,3.62
35,male,172,95,moderate,cutting,209.0,261.2,83.6,3.62
51,male,171,56,moderate,cutting,123.2,154.0,49.3,2.26
50,male,184,56,sedentary,maintenance,112.0,196.0,56.0,1.96
53,male,173,96,moderate,bulking,192.0,528.0,126.7,3.66
29,female,172,56,sedentary,maintenance,112.0,196.0,56.0,1.96
59,male,174,69,active,cutting,151.8,215.6,69.0,3.02
59,female,173,72,sedentary,maintenance,144.0,252.0,72.0,2.52
56,male,181,73,moderate,maintenance,146.0,281.1,80.3,2.85
57,female,158,71,active,maintenance,142.0,310.6,88.8,3.09
38,female,186,83,active,cutting,182.6,259.4,83.0,3.51
25,female,152,84,moderate,cutting,184.8,231.0,73.9,3.24
26,male,159,67,sedentary,cutting,147.4,167.5,53.6,2.35
28,female,171,81,active,maintenance,162.0,354.4,101.2,3.44
57,male,161,75,sedentary,cutting,165.0,187.5,60.0,2.63
19,female,155,81,sedentary,cutting,178.2,202.5,64.8,2.84
52,female,183,50,active,cutting,110.0,156.2,50.0,2.35
57,female,198,82,active,bulking,164.0,512.5,123.0,3.47
37,male,194,97,moderate,maintenance,194.0,373.5,106.7,3.7
55,female,175,70,active,bulking,140.0,437.5,105.0,3.05
26,male,151,51,sedentary,maintenance,102.0,178.5,51.0,1.79
25,male,192,70,sedentary,maintenance,140.0,245.0,70.0,2.45
50,male,179,73,sedentary,bulking,146.0,365.0,87.6,2.56
27,female,172,94,moderate,maintenance,188.0,361.9,103.4,3.59
56,female,157,95,moderate,maintenance,190.0,365.8,104.5,3.62
41,female,199,96,moderate,maintenance,192.0,369.6,105.6,3.66
59,male,151,83,moderate,bulking,166.0,456.5,109.6,3.21
21,male,171,51,sedentary,maintenance,102.0,178.5,51.0,1.79
21,male,185,57,sedentary,bulking,114.0,285.0,68.4,2.0
46,male,154,85,sedentary,maintenance,170.0,297.5,85.0,2.98
21,female,195,90,sedentary,cutting,198.0,225.0,72.0,3.15
26,male,191,89,sedentary,maintenance,178.0,311.5,89.0,3.12
42,female,166,92,active,maintenance,184.0,402.5,115.0,3.82
34,male,152,64,active,maintenance,128.0,280.0,80.0,2.84
45,female,178,69,active,cutting,151.8,215.6,69.0,3.02
25,male,173,64,sedentary,cutting,140.8,160.0,51.2,2.24
37,female,160,57,sedentary,bulking,114.0,285.0,68.4,2.0
40,male,188,79,active,cutting,173.8,246.9,79.0,3.37
26,female,186,57,sedentary,bulking,114.0,285.0,68.4,2.0
18,male,168,75,moderate,bulking,150.0,412.5,99.0,2.93
59,female,159,45,moderate,cutting,99.0,123.8,39.6,1.88
43,male,195,77,sedentary,cutting,169.4,192.5,61.6,2.7
34,male,198,71,moderate,maintenance,142.0,273.4,78.1,2.79
44,female,169,65,active,cutting,143.0,203.1,65.0,2.88
51,female,159,68,active,bulking,136.0,425.0,102.0,2.98
19,female,159,67,active,bulking,134.0,418.8,100.5,2.95
46,male,194,66,sedentary,bulking,132.0,330.0,79.2,2.31
49,female,175,74,sedentary,bulking,148.0,370.0,88.8,2.59
23,male,163,78,moderate,maintenance,156.0,300.3,85.8,3.03
52,female,168,90,moderate,maintenance,180.0,346.5,99.0,3.45
31,male,172,96,active,cutting,211.2,300.0,96.0,3.96
37,female,187,63,active,cutting,138.6,196.9,63.0,2.81
38,female,181,52,sedentary,bulking,104.0,260.0,62.4,1.82
47,female,172,54,moderate,bulking,108.0,297.0,71.3,2.19
38,male,158,83,sedentary,maintenance,166.0,290.5,83.0,2.91
55,female,185,97,moderate,maintenance,194.0,373.5,106.7,3.7
43,male,187,75,active,bulking,150.0,468.8,112.5,3.23
33,male,160,79,active,maintenance,158.0,345.6,98.8,3.37
20,male,191,94,sedentary,maintenance,188.0,329.0,94.0,3.29
41,male,196,91,moderate,maintenance,182.0,350.4,100.1,3.49
57,female,157,81,active,maintenance,162.0,354.4,101.2,3.44
41,female,193,96,moderate,bulking,192.0,528.0,126.7,3.66
59,male,174,75,sedentary,bulking,150.0,375.0,90.0,2.63
35,female,184,62,moderate,maintenance,124.0,238.7,68.2,2.47
59,female,158,65,active,cutting,143.0,203.1,65.0,2.88
35,female,153,79,sedentary,cutting,173.8,197.5,63.2,2.77
49,male,164,79,active,cutting,173.8,246.9,79.0,3.37
44,female,162,66,active,maintenance,132.0,288.8,82.5,2.91
57,female,174,67,moderate,maintenance,134.0,258.0,73.7,2.65
43,male,188,64,sedentary,bulking,128.0,320.0,76.8,2.24
56,female,198,85,sedentary,bulking,170.0,425.0,102.0,2.98
38,male,158,76,sedentary,cutting,167.2,190.0,60.8,2.66
29,female,198,54,sedentary,maintenance,108.0,189.0,54.0,1.89
27,male,190,68,moderate,bulking,136.0,374.0,89.8,2.68
23,male,191,97,active,bulking,194.0,606.2,145.5,4.0
36,male,155,53,sedentary,maintenance,106.0,185.5,53.0,1.86
20,female,176,53,sedentary,cutting,116.6,132.5,42.4,1.86
49,male,162,83,moderate,bulking,166.0,456.5,109.6,3.21
40,female,167,73,sedentary,cutting,160.6,182.5,58.4,2.56
35,female,178,72,active,cutting,158.4,225.0,72.0,3.12
51,male,163,87,active,maintenance,174.0,380.6,108.8,3.65
33,female,152,57,sedentary,cutting,125.4,142.5,45.6,2.0
26,male,150,87,moderate,cutting,191.4,239.3,76.6,3.35
55,female,162,96,sedentary,maintenance,192.0,336.0,96.0,3.36
22,female,177,49,active,cutting,107.8,153.1,49.0,2.31
41,female,151,71,active,maintenance,142.0,310.6,88.8,3.09
43,female,191,74,sedentary,maintenance,148.0,259.0,74.0,2.59
37,female,192,90,active,cutting,198.0,281.2,90.0,3.75
20,female,150,94,active,cutting,206.8,293.8,94.0,3.89
31,female,195,53,moderate,cutting,116.6,145.8,46.6,2.16
31,female,159,67,active,bulking,134.0,418.8,100.5,2.95
54,male,153,53,sedentary,maintenance,106.0,185.5,53.0,1.86
18,female,155,71,sedentary,bulking,142.0,355.0,85.2,2.49
32,female,170,74,active,cutting,162.8,231.2,74.0,3.19
31,male,171,79,sedentary,bulking,158.0,395.0,94.8,2.77
23,female,197,68,sedentary,bulking,136.0,340.0,81.6,2.38
20,male,199,94,active,cutting,206.8,293.8,94.0,3.89
34,female,172,55,moderate,bulking,110.0,302.5,72.6,2.23
33,female,196,73,sedentary,maintenance,146.0,255.5,73.0,2.56
28,male,180,72,sedentary,maintenance,144.0,252.0,72.0,2.52
37,female,192,57,moderate,cutting,125.4,156.8,50.2,2.29
43,female,179,47,sedentary,cutting,103.4,117.5,37.6,1.65
48,male,182,89,moderate,maintenance,178.0,342.7,97.9,3.42
44,male,150,73,moderate,bulking,146.0,401.5,96.4,2.85
37,female,175,99,moderate,cutting,217.8,272.2,87.1,3.77
52,male,164,45,moderate,cutting,99.0,123.8,39.6,1.88
49,male,151,55,active,cutting,121.0,171.9,55.0,2.53
26,female,187,78,sedentary,maintenance,156.0,273.0,78.0,2.73
57,female,191,95,sedentary,cutting,209.0,237.5,76.0,3.33
36,male,155,84,sedentary,maintenance,168.0,294.0,84.0,2.94
47,female,194,66,active,maintenance,132.0,288.8,82.5,2.91
33,male,155,49,sedentary,cutting,107.8,122.5,39.2,1.72
37,female,187,86,moderate,cutting,189.2,236.5,75.7,3.31
22,female,150,99,moderate,maintenance,198.0,381.2,108.9,3.77
48,female,193,74,active,bulking,148.0,462.5,111.0,3.19
32,female,157,76,active,maintenance,152.0,332.5,95.0,3.26
21,male,158,99,sedentary,bulking,198.0,495.0,118.8,3.47
48,female,187,90,sedentary,cutting,198.0,225.0,72.0,3.15
29,male,166,92,sedentary,bulking,184.0,460.0,110.4,3.22
47,female,183,98,sedentary,cutting,215.6,245.0,78.4,3.43
35,male,172,92,sedentary,maintenance,184.0,322.0,92.0,3.22
36,male,150,79,moderate,maintenance,158.0,304.2,86.9,3.06
29,male,187,61,sedentary,bulking,122.0,305.0,73.2,2.14
42,male,168,93,sedentary,cutting,204.6,232.5,74.4,3.26
28,female,186,54,sedentary,cutting,118.8,135.0,43.2,1.89
37,male,177,61,sedentary,cutting,134.2,152.5,48.8,2.14
53,male,161,61,active,bulking,122.0,381.2,91.5,2.74
28,male,196,89,active,bulking,178.0,556.2,133.5,3.72
43,female,169,68,active,bulking,136.0,425.0,102.0,2.98
21,male,160,89,active,maintenance,178.0,389.4,111.2,3.72
32,male,165,99,active,cutting,217.8,309.4,99.0,4.07
55,male,171,70,sedentary,cutting,154.0,175.0,56.0,2.45
51,female,168,81,sedentary,maintenance,162.0,283.5,81.0,2.84
26,female,193,61,moderate,cutting,134.2,167.8,53.7,2.44
21,male,164,57,moderate,bulking,114.0,313.5,75.2,2.29
45,female,199,75,active,maintenance,150.0,328.1,93.8,3.23
45,female,165,58,moderate,bulking,116.0,319.0,76.6,2.33
42,female,160,62,sedentary,maintenance,124.0,217.0,62.0,2.17
30,female,198,50,active,maintenance,100.0,218.8,62.5,2.35
37,male,195,90,sedentary,maintenance,180.0,315.0,90.0,3.15
23,female,178,62,sedentary,maintenance,124.0,217.0,62.0,2.17
47,male,168,93,sedentary,cutting,204.6,232.5,74.4,3.26
47,female,180,66,moderate,bulking,132.0,363.0,87.1,2.61
26,male,160,98,active,cutting,215.6,306.2,98.0,4.03
